tag_group,tag_name,assignment_rule,target_audience,marketing_message,upsell_points,recommendation_hint,related_tags,caution
데이터 활용력 / 인터넷 속도,데이터데일리,"일/매일 nGB, 월 nGB+매일 mGB",데일리 요금제(군인/청소년/시니어/일상 루틴형),"매일 리셋, 오늘도 넉넉하게 | 출퇴근/등하교 루틴 데이터",테더링 옵션 | OTT/유튜브형 혜택 | 게임/콘텐츠 번들,일 단위 데이터 리셋 니즈가 있거나 규칙적 사용 패턴이 뚜렷한 사용자에게 적합,청소년 | 시니어 | 현역병사 | 게임 | 영상OTT,월 총량 중심 사용자에게는 데이터데일리보다 데이터적정/데이터헤비가 더 적합할 수 있음
데이터 활용력 / 인터넷 속도,데이터무제한,무제한,프리미어/시그니처 등 상위,데이터는 신경 끄기 | 끊김/용량 스트레스 0,프리미엄 구독 번들(OTT/음악) | 가족결합 메인 전환 | VIP/보험/케어,"데이터 부족 스트레스, 스트리밍, 게임, 핫스팟 사용량이 큰 사용자에게 핵심 추천 태그",영상OTT | 게임 | 가족결합메인 | 디바이스케어,가격 민감도가 높은 사용자에게는 단독 주력 추천보다 가성비/혜택 근거를 함께 제시하는 것이 좋음
데이터 활용력 / 인터넷 속도,데이터헤비,101~210GB,스트리밍/재택/핫스팟,스트리밍 마음껏 | 핫스팟까지 넉넉,테더링 상향 | OTT/음악 번들 | 초고속 인터넷 결합,무제한까지는 아니지만 월 사용량이 높은 사용자에게 중상위 데이터 요금제로 연결하기 좋음,테더링쉐어링 | 영상OTT | 음악 | 초고속인터넷,실제 사용량이 낮은 사용자에게는 과추천 가능성이 있으므로 데이터 사용량 근거와 함께 제안
데이터 활용력 / 인터넷 속도,데이터적정,31~100GB,직장인/대학생 메인폰,"딱 맞는 용량, 월말까지 안정",OTT/음악 소액 번들 | 클라우드(사진/백업) | 테더링 패스,과소비는 피하면서도 메인폰으로 안정적 사용을 원하는 사용자에게 적합,20대청년 | 영상OTT | 음악 | 클라우드 | 테더링쉐어링,영상/게임/테더링 사용량이 급증하는 사용자에게는 데이터헤비와 비교 제안 필요
데이터 활용력 / 인터넷 속도,데이터알뜰,0~30GB,라이트/시니어/키즈/서브폰,"쓸 만큼만, 통신비 다이어트",안심보안 | 소액 보험/케어 | 가족결합 연결,사용량이 낮고 비용 효율을 중시하는 사용자에게 적합,가성비 | 시니어 | 키즈 | 안심보안 | 가족결합메인,메인폰 고사용량 사용자에게는 품질 불만이 생길 수 있으므로 서브폰/라이트 사용 맥락 확인 필요
데이터 활용력 / 인터넷 속도,초고속인터넷,1Gbps/기가/게임,1G 인터넷,핑 줄이고 속도 올리기 | 게임/재택 최적,Wi-Fi 공유기 업그레이드 | IPTV/가족결합,"게임, 재택근무, 다인 가구, 고화질 스트리밍 수요가 큰 홈 환경에 적합",게임 | IPTV | 가족결합메인 | 기가라이트,단순 웹서핑/영상 소비 위주 가구에는 과한 제안이 될 수 있어 500M와 비교 제안 권장
데이터 활용력 / 인터넷 속도,기가라이트,500Mbps,500M 인터넷,체감 성능+가성비 밸런스,1G 업그레이드 제안 | IPTV 결합,성능과 비용 사이 균형을 원하는 가정용 인터넷 고객에게 적합,가성비 | IPTV | 초고속인터넷,고사양 게임/다수 동시 접속 환경에서는 초고속인터넷이 더 적합할 수 있음
데이터 활용력 / 인터넷 속도,실속인터넷,100Mbps/광랜/기본,100M 인터넷,"기본에 충실, 비용 최소",500M로 단계 업 | 보안/자녀 보호 서비스,"기본 사용 중심, 저비용 홈인터넷 니즈에 적합",가성비 | 자녀보호 | 안심보안 | 기가라이트,"다인 가구, IPTV 고사용량, 재택/게임 환경에서는 속도 부족 체감이 있을 수 있음"
트렌드 민감도 (미디어 및 콘텐츠 지수),영상OTT,넷플릭스/유튜브/디즈니+/티빙/OTT,OTT 부가서비스,구독료를 요금제에 묶어서 절약,OTT 번들팩 | 무제한 요금제 | 가족공유형 상품,영상 콘텐츠 소비가 높은 사용자에게 데이터·번들 추천의 연결 고리 역할,OTT프리미엄 | OTT스탠다드 | OTT베이직 | 데이터무제한 | 가족공유,OTT 실제 이용의향이 낮은 사용자에게는 혜택 체감이 약할 수 있음
트렌드 민감도 (미디어 및 콘텐츠 지수),OTT프리미엄,프리미엄 등급 OTT,4K/TV 시청,TV·4K·가족 공유까지,데이터무제한 | 가족결합메인 | 초고속인터넷,대화면·고화질·가족 공유 중심의 콘텐츠 소비자에게 적합,영상OTT | 가족공유 | 데이터무제한 | 초고속인터넷,모바일 위주·저가 선호 고객에게는 OTT스탠다드/베이직이 더 적합할 수 있음
트렌드 민감도 (미디어 및 콘텐츠 지수),OTT스탠다드,스탠다드 등급,모바일+TV 혼합,딱 좋은 화질과 가격,데이터헤비 | OTT 번들 상향,화질과 가격의 균형을 원하는 일반 콘텐츠 소비자에게 적합,영상OTT | 데이터헤비 | OTT프리미엄 | OTT베이직,가족 공유 또는 4K 시청 니즈가 명확하면 프리미엄 등급 제안을 병행
트렌드 민감도 (미디어 및 콘텐츠 지수),OTT베이직,베이직 등급,모바일 위주,"모바일 중심, 가성비 선택",데이터적정 | 소액 OTT 번들 유지 전략,모바일 위주의 가벼운 OTT 사용자에게 적합,영상OTT | 데이터적정 | 가성비 | OTT스탠다드,TV 시청 비중이 높거나 가족 공유 니즈가 있으면 상위 등급을 검토
트렌드 민감도 (미디어 및 콘텐츠 지수),구독결제,통신 합산 구독,OTT/음악/전자책,통신비로 한 번에 관리,번들팩 제안 | 프리미엄 요금제 전환,여러 구독을 통신비로 일원화하려는 사용자에게 적합,번들상품 | 영상OTT | 음악 | 독서,단일 서비스만 이용하는 고객에게는 복잡하게 느껴질 수 있음
